"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005070.1.1"	-2.04637906785362	4.00446781622978	5.41891980036061e-05	0.0039011158151568	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006470.1.1"	2.18443677845969	9.13845910559733	3.40966760436248e-06	0.000330373201967348	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006670.2.1"	3.8233004104126	3.92358804738482	8.41747396874879e-07	9.60589658981807e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006680.1.1"	3.02598167810109	10.5313239167454	4.18649556841245e-10	1.04027662462842e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006690.2.1"	2.30506795626525	5.99313474706488	0.000230838938418128	0.0133194932032572	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g008580.1.1"	2.98212564995273	5.8822341528622	1.81767506124612e-08	3.04381543408235e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g009760.2.1"	2.22158821587286	8.54862334551305	1.75552964332237e-06	0.000186521997827755	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g010530.1.1"	2.64525021995616	4.71485849956651	2.00627240873062e-06	0.000208842113033134	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150.1.1"	2.85736933878205	6.91532174417273	5.85345287905477e-09	1.156131987881e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011160.1.1"	3.44035377001769	7.66719047202266	1.2599783308331e-09	2.81322118330647e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011170.1.1"	1.83014946298583	8.22238098549458	0.000102520409146066	0.00663625808111044	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012430.1.1"	2.78598808327932	6.81126123803485	2.97631346763508e-07	3.69782945825694e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g012440.1.1"	3.23436289137174	11.1759117411872	4.56299844054139e-11	1.2332904206137e-08	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g014800.1.1"	-5.84303496762963	7.15187495135028	1.28443582994191e-28	1.41342988543465e-25	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g019730.1.1"	1.45541981581157	7.87959935920445	0.00112788911727969	0.0488097183730644	"Cytochrome c oxidase subunit 3 (AHRD V1 ***- Q5M9V7_TOBAC); contains Interpro domain(s)  IPR000298  Cytochrome c oxidase, subunit III "	"ATMG00730"	"COX3"	"Encodes cytochrome c oxidase subunit 3."	91.03	145	3e-67	250	97.95918367
"Solyc00g050430.2.1"	-2.22246706777881	7.93153939511916	3.28813619873495e-07	4.02039891092941e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
